City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,Taltal,BR,77.63,few clouds,-24.79,-50.01,CHACARA BAILLY
541,Uman,MX,79.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
544,Kot Kapura,IN,86.41,broken clouds,26.92,71.92,Motel Pokaran - RTDC
547,Nishihara,JP,80.6,broken clouds,34.0,131.87,Hotel AZ Yamaguchi Kudamatsu
552,Alta Floresta,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
553,Yen Bai,VN,81.41,broken clouds,21.7,104.87,AK MOTEL
555,Benevides,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
556,Bongandanga,CD,78.55,clear sky,-7.0,23.45,Hôtel Kamas
561,Oranjestad,AW,84.2,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
562,Angoram,PG,82.11,overcast clouds,-2.57,150.8,Nusa Island Retreat
563,Chauk,MM,82.11,light rain,20.15,92.9,Hotel Memory
565,Formoso Do Araguaia,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
572,Labuan,MY,77.0,overcast clouds,1.24,111.46,Seri Simanggang Hotel
577,Manicore,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
581,Bargal,SO,83.37,broken clouds,4.12,43.89,Banjanay Hotel
583,Along,IN,86.41,broken clouds,26.92,71.92,Motel Pokaran - RTDC
587,Palaiokhora,GR,87.8,few clouds,39.62,22.37,Divani Palace Larissa
591,Itoman,JP,80.6,broken clouds,34.0,131.87,Hotel AZ Yamaguchi Kudamatsu
592,Songjianghe,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
593,Coquimbo,BR,77.63,few clouds,-24.79,-50.01,CHACARA BAILLY
594,Los Chiles,BO,77.0,overcast clouds,-17.8,-63.17,Hotel Cortez
595,Vicuna,BR,77.63,few clouds,-24.79,-50.01,CHACARA BAILLY
596,Carutapera,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
597,Pangkalanbuun,ID,79.36,overcast clouds,-6.88,112.21,bador sepret
600,Palma Del Rio,ES,86.0,clear sky,42.14,-0.41,Hotel Sancho Abarca SPA Huesca
603,Eucaliptus,CO,80.6,haze,3.22,-76.31,La Granadina
604,Mogadishu,SO,83.37,broken clouds,4.12,43.89,Banjanay Hotel
