City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
355,Balkanabat,TM,39.51,54.37,82.33,16,0,4.52,clear sky
356,Aden,YE,15.17,44.32,58.51,44,0,7.58,clear sky
357,Roald,NO,69.13,18.61,41.0,100,66,10.29,broken clouds
358,Nelson Bay,US,42.6,-73.97,66.0,100,33,2.8,scattered clouds
359,Yavaros,MX,20.87,-90.4,82.54,79,41,15.68,light rain
360,Kaputa,ZM,-14.45,28.45,52.48,75,0,4.56,clear sky
361,Kaohsiung,NG,7.27,8.93,73.76,94,100,10.96,overcast clouds
362,Cabo San Lucas,MX,20.87,-90.4,82.54,79,41,15.68,light rain
363,Mackenzie,CA,62.46,-114.35,50.0,46,20,6.93,few clouds
364,Honiara,SB,-9.43,159.95,75.2,100,90,4.7,overcast clouds
365,Kawalu,ID,-8.62,122.21,84.7,57,54,1.66,broken clouds
